UPI Beneficiary Members - Top 50 Members (Aug'25),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Sr.No.,UPI Beneficiary Banks,Total Volume (In Mn),Approved %,BD%,TD%,Deemed Approved %
1,Yes Bank Ltd.,"8,090.56",99.95%,0.00%,0.04%,0.00%
2,State Bank of India,"2,060.53",99.53%,0.16%,0.31%,0.11%
3,Axis Bank Ltd.,"2,034.50",99.84%,0.16%,0.00%,0.00%
4,HDFC Bank Ltd.,"1,018.91",99.25%,0.75%,0.01%,0.00%
5,ICICI Bank Ltd.,555.60,99.53%,0.24%,0.24%,0.06%
6,Bank of Baroda,528.94,99.71%,0.26%,0.03%,0.05%
7,Airtel Payments Bank Limited,489.64,98.09%,1.86%,0.05%,0.04%
8,Union Bank of India,475.30,99.34%,0.09%,0.57%,0.15%
9,Canara Bank,453.65,99.55%,0.11%,0.34%,0.06%
10,Punjab National Bank,446.99,99.54%,0.25%,0.21%,0.09%
11,Kotak Mahindra Bank,372.03,98.66%,1.16%,0.18%,0.02%
12,Federal Bank Ltd.,368.44,99.36%,0.20%,0.44%,0.02%
13,India Post Payments Bank Limited,295.38,97.82%,1.24%,0.94%,0.35%
14,Indian Bank,291.64,99.74%,0.14%,0.12%,0.02%
15,Bank Of India,259.40,95.20%,0.73%,4.07%,0.59%
16,Indusind Bank Ltd.,202.41,99.61%,0.28%,0.11%,0.04%
17,Indian Overseas Bank,152.37,98.98%,0.34%,0.68%,0.21%
18,Unity Small Finance Bank Limited,140.77,99.93%,0.00%,0.06%,0.02%
19,Central Bank of India,139.58,98.78%,0.45%,0.77%,0.18%
20,UCO Bank,120.45,99.29%,0.34%,0.37%,0.05%
21,RBL Bank Ltd.,96.09,99.64%,0.05%,0.31%,0.12%
22,Fino Payments Bank Ltd.,90.11,97.28%,1.44%,1.28%,0.04%
23,IDBI Bank Ltd.,85.28,99.24%,0.34%,0.42%,0.06%
24,Bank of Maharashtra,84.48,99.72%,0.23%,0.04%,0.01%
25,Tri O Tech Solutions Private Limited,61.83,98.81%,1.19%,0.01%,0.00%
26,Karnataka Bank,61.63,99.60%,0.24%,0.16%,0.03%
27,NSDL Payments Bank Limited,59.43,98.64%,0.963%,0.40%,0.11%
28,Suryoday Small Finance Bank Limited,55.98,95.93%,0.43%,3.64%,1.37%
29,One Mobikwik Systems Limited,55.53,99.85%,0.00%,0.15%,0.00%
30,The Jammu & Kashmir Bank Limited,53.04,99.13%,0.40%,0.47%,0.28%
31,IDFC Bank Ltd.,52.91,99.05%,0.87%,0.08%,0.03%
32,Bandhan Bank limited,52.76,99.43%,0.44%,0.13%,0.06%
33,JIO Payments Bank Ltd,52.59,97.18%,0.99%,1.83%,0.21%
34,The South Indian Bank Limited,47.86,99.84%,0.12%,0.05%,0.01%
35,Karur Vysya Bank,45.74,99.29%,0.31%,0.40%,0.05%
36,Tamilnad Mercantile Bank Limited,37.31,98.56%,0.18%,1.26%,0.15%
37,AU Small Finance Bank,35.14,97.79%,0.48%,1.73%,0.44%
38,City Union Bank,31.86,99.39%,0.42%,0.19%,0.00%
39,Kerala Gramin Bank,29.20,97.99%,0.30%,1.71%,0.76%
40,Citi Bank,26.55,99.76%,0.20%,0.04%,0.02%
41,Ujjivan Small Finance Bank Limited,26.46,98.48%,0.21%,1.31%,0.20%
42,Punjab and Sind Bank,26.13,98.25%,0.89%,0.86%,0.12%
43,Baroda U.P. Bank,25.04,94.27%,0.23%,5.50%,1.05%
44,Telangana Grameena Bank,18.32,98.04%,0.37%,1.58%,0.24%
45,Karnataka Gramin Bank,16.55,98.92%,0.25%,0.83%,0.33%
46,ESAF Small Finance Bank Ltd,15.98,99.40%,0.50%,0.10%,0.01%
47,Maharashtra Gramin Bank,15.93,96.71%,0.18%,3.11%,0.20%
48,Rajasthan Marudhara Gramin Bank,14.83,84.53%,1.67%,13.80%,0.32%
49,Equitas Small Finance Bank,14.82,97.67%,1.98%,0.35%,0.11%
50,Andhra Pragathi Grameena Bank,14.55,95.89%,1.01%,3.10%,0.16%
