UPI Remitter Members - Top 50 Members (Aug'25),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
SrNo,upi_remitter_banks,Total Volume (In Mn),Approved %,BD %,TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
1,State Bank of India,"5,368.74",93.66%,5.92%,0.42%,14.51,97.89%
2,HDFC Bank Ltd.,"1,581.09",95.37%,4.63%,0.01%,3.51,98.73%
3,Bank of Baroda,"1,369.53",91.44%,8.50%,0.05%,3.73,99.03%
4,Union Bank of India,"1,233.20",92.23%,7.02%,0.75%,4.64,61.93%
5,Punjab National Bank,"1,131.31",91.20%,8.61%,0.19%,3.52,97.66%
6,Kotak Mahindra Bank,978.17,92.39%,7.47%,0.13%,2.46,90.51%
7,Canara Bank,970.63,92.73%,6.92%,0.36%,2.54,89.02%
8,Axis Bank Ltd.,902.87,94.96%,5.03%,0.02%,1.77,99.76%
9,ICICI Bank Ltd.,752.78,95.66%,3.82%,0.52%,2.11,84.15%
10,India Post Payments Bank Limited,674.59,87.92%,11.15%,0.93%,3.26,74.86%
11,Indian Bank,653.87,93.05%,6.81%,0.14%,1.35,1.90%
12,Airtel Payments Bank Limited,637.23,85.83%,14.05%,0.12%,2.61,99.17%
13,Bank Of India,605.10,88.96%,6.72%,4.32%,5.14,57.77%
14,Indian Overseas Bank,330.15,92.90%,6.47%,0.64%,1.24,46.60%
15,Central Bank of India,307.77,91.12%,7.81%,1.08%,1.65,80.86%
16,UCO Bank,283.93,91.70%,7.93%,0.37%,0.94,85.11%
17,Federal Bank Ltd.,266.43,93.11%,6.30%,0.59%,0.77,84.27%
18,Fino Payments Bank Ltd.,237.47,86.17%,12.42%,1.42%,1.08,85.22%
19,Bank of Maharashtra,218.97,93.57%,6.37%,0.06%,0.55,92.61%
20,Indusind Bank Ltd.,216.95,90.15%,9.59%,0.26%,0.81,72.79%
21,IDBI Bank Ltd.,206.69,92.78%,6.38%,0.83%,0.67,83.82%
22,Yes Bank Ltd.,177.66,91.49%,8.37%,0.15%,0.30,84.27%
23,Karnataka Bank,142.00,92.82%,7.11%,0.07%,0.31,88.41%
24,Tri O Tech Solutions Private Limited,134.92,100.00%,0.00%,0.00%,-,0.00%
25,IDFC Bank Ltd.,120.47,93.64%,6.28%,0.08%,0.28,89.06%
26,The Jammu & Kashmir Bank Limited,99.01,93.01%,5.82%,1.17%,0.68,36.82%
27,Karur Vysya Bank,95.13,92.90%,6.51%,0.59%,0.25,83.08%
28,Bandhan Bank limited,92.44,94.48%,5.37%,0.15%,0.31,97.93%
29,AU Small Finance Bank,79.26,88.14%,9.53%,2.33%,0.67,52.38%
30,The South Indian Bank Limited,76.06,95.03%,4.73%,0.24%,0.13,98.14%
31,JIO Payments Bank Ltd,61.01,84.15%,12.30%,3.55%,0.54,87.22%
32,Punjab and Sind Bank,59.04,90.64%,8.50%,0.86%,0.31,83.01%
33,City Union Bank,57.26,92.59%,7.30%,0.11%,0.10,99.53%
34,Tamilnad Mercantile Bank Limited,55.86,92.16%,6.56%,1.28%,0.20,54.34%
35,Ujjivan Small Finance Bank Limited,54.77,90.46%,8.26%,1.28%,0.21,71.19%
36,Baroda U.P. Bank,53.78,87.67%,4.69%,7.63%,0.92,44.49%
37,NSDL Payments Bank Limited,51.33,85.08%,13.62%,1.30%,0.39,71.78%
38,Kerala Gramin Bank,50.92,90.77%,6.54%,2.69%,0.51,70.32%
39,Telangana Grameena Bank,40.42,88.02%,9.51%,2.47%,0.35,44.22%
40,Maharashtra Gramin Bank,38.08,83.77%,13.79%,2.44%,0.23,52.46%
41,ESAF Small Finance Bank Ltd,34.96,95.92%,4.01%,0.08%,0.08,98.84%
42,Karnataka Gramin Bank,34.89,88.91%,9.83%,1.26%,0.23,67.83%
43,Rajasthan Marudhara Gramin Bank,32.73,85.57%,11.74%,2.69%,0.40,31.73%
44,RBL Bank Ltd.,32.15,92.71%,6.73%,0.56%,0.09,76.46%
45,Andhra Pragathi Grameena Bank,32.07,83.11%,13.12%,3.77%,0.24,60.28%
46,DBS Bank India Limited,31.37,92.08%,6.44%,1.48%,0.11,60.18%
47,Saraswat Co-operative Bank,30.02,94.06%,4.57%,1.37%,0.09,71.34%
48,Equitas Small Finance Bank,29.43,91.02%,8.64%,0.33%,0.10,68.99%
49,Axis Bank Credit Card,28.41,95.02%,4.91%,0.08%,0.07,99.83%
50,Sarva Haryana Gramin Bank,26.50,92.03%,4.46%,3.51%,0.24,42.86%
