UPI Remitter Members - Top 50 Members (Jun'24),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Sr. No.,upi_remitter_banks,Total Volume (In Mn),Approved %,BD %,TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
1,State Bank of India,3738,94.82%,4.95%,0.22%,10.49,0.9779
2,HDFC Bank Ltd,1191.85,95.43%,4.34%,0.23%,6.03,0.3691
3,Bank of Baroda,912.47,93.28%,6.39%,0.33%,4.43,0.9954
4,Union Bank of India,869.16,93.98%,5.74%,0.28%,3.33,0.7038
5,Punjab National Bank,783.7,93.53%,6.07%,0.40%,3.12,0.7621
6,Kotak Mahindra Bank Ltd,727.46,92.20%,6.93%,0.86%,2.68,0.9504
7,Canara Bank,657.78,92.85%,6.43%,0.72%,2.57,0.9738
8,Axis Bank Ltd.,651.8,95.59%,4.40%,0.02%,1.92,0.7947
9,ICICI Bank Ltd,620.66,96.19%,3.76%,0.05%,1.67,0.8079
10,Bank Of India,444.39,94.18%,5.51%,0.32%,1.6,0.6095
11,Indian Bank,423.92,94.06%,5.76%,0.19%,1.56,0.9957
12,Airtel Payments Bank Ltd,414.12,88.87%,10.12%,1.01%,1.51,0.9588
13,India Post Payments Bank Ltd,319.04,85.95%,12.05%,2.00%,1.44,0.7165
14,Federal Bank,205.99,94.34%,5.61%,0.06%,1.25,0.9366
15,Central Bank of India,202.35,86.99%,11.27%,1.74%,1,0.1358
16,Indian Overseas Bank,197.11,92.98%,5.54%,1.48%,0.86,0.9872
17,UCO Bank,184.42,93.38%,6.35%,0.27%,0.84,0.651
18,IDBI Bank,155.97,94.24%,5.25%,0.51%,0.78,0.7829
19,Indusind Bank Ltd.,155.09,91.86%,7.68%,0.46%,0.73,0.7715
20,Bank of Maharashtra,150.89,93.21%,5.77%,1.01%,0.71,0.6469
21,Fino Payments Bank Ltd.,140.81,92.49%,7.16%,0.36%,0.67,0.6782
22,Yes bank Ltd.,118.94,94.04%,5.79%,0.17%,0.56,0.9882
23,Karnataka Bank Ltd,108.5,93.12%,6.42%,0.46%,0.5,0.3588
24,IDFC Bank Ltd.,85.74,93.06%,6.88%,0.06%,0.44,0.6883
25,Karur Vysya Bank,67.93,93.39%,6.14%,0.47%,0.4,0.778
26,The Jammu And Kashmir Bank Ltd,65.45,93.49%,4.86%,1.66%,0.38,0.5407
27,Bandhan Bank Ltd.,59.26,92.99%,6.11%,0.90%,0.31,0.0432
28,South Indian Bank,54.24,94.99%,4.95%,0.06%,0.31,0.772
29,Tri O Tech Solutions Private Limited,50.77,100.00%,0.00%,0.00%,0.31,0.1747
30,AU Small Finance Bank,46.74,93.96%,6.01%,0.02%,0.26,0.9009
31,Ujjivan Small Finance Bank Limited,44.18,94.17%,5.60%,0.23%,0.25,0.2025
32,City Union Bank Limited,40.87,93.05%,6.69%,0.26%,0.24,0.827
33,Punjab & Sind Bank,38.32,92.27%,7.46%,0.27%,0.22,0.8999
34,Tamilnad Mercantile Bank Ltd.,38.2,91.39%,7.44%,1.17%,0.21,0.9795
35,Equitas Small Finance Bank Ltd,32.46,92.00%,7.29%,0.71%,0.21,0.7689
36,HDFC Bank Credit Card HCB,31.15,95.19%,4.66%,0.15%,0.21,0.2354
37,Andhra Pradesh Grameena Vikas Bank,29.53,85.51%,12.21%,2.28%,0.2,0.9907
38,Kerala Gramin Bank,29.43,93.72%,5.54%,0.74%,0.17,0.9078
39,Pragathi Krishna Gramin Bank,26.98,91.24%,6.93%,1.83%,0.17,0.7282
40,DBS Bank India Limited,26.61,94.23%,5.72%,0.05%,0.17,0.5821
41,Rajasthan Marudhara Gramin Bank,25.44,86.22%,11.56%,2.22%,0.17,0.5842
42,Maharashtra Gramin Bank,25.16,86.97%,11.42%,1.61%,0.17,0.4472
43,Standard Chartered Bank,24.97,96.93%,2.90%,0.17%,0.16,0.9027
44,Baroda Uttar Pradesh Gramin Bank,24.09,74.58%,10.00%,15.42%,0.15,0.8869
45,Saraswat Co-operative Bank Ltd.,23.45,94.86%,4.71%,0.43%,0.15,0.9625
46,ESAF Small Finance Bank Ltd.,22.93,95.04%,4.76%,0.20%,0.14,0.6714
47,Fincare Small Finance Bank Limited,20.56,85.12%,14.38%,0.51%,0.13,0.0953
48,Sarva Haryana Gramin Bank,19.34,89.85%,7.83%,2.32%,0.13,0.9624
49,Andhra Pragathi Grameena Bank,18.35,80.76%,12.96%,6.28%,0.13,0.9961
50,Jio Payments Bank limited,16.8,84.80%,11.61%,3.59%,0.11,0.4765
